Player,Opponent,Rally,Serve?,Serve Type,Starting Serve Position,Faults,Walls on Winning Hit,Length of Rally,Direction Changes,OpponentDirectionChange,Forehands,Backhands,OpponentForehands,OpponentBackhands,WinServe?,,
Kane Waselenchuk,Rodrigo Montoya ,60,Yes,Forehand Drive ,Opponent Backhand,0,1,2,0,1,1,0,0,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,61,No,Forehand Drive ,Backhand,0,1,1,0,0,0,0,1,0,No,,
Kane Waselenchuk,Rodrigo Montoya ,62,No,Forehand Drive ,Backhand,0,1,7,1,2,3,0,2,2,No,,
Kane Waselenchuk,Rodrigo Montoya ,63,No,Backhand Drive,Backhand,0,1,4,1,1,0,2,1,1,Yes,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
